"filename", "language", "JavaScript", "JSON", "Markdown", "Environment Variables", "YAML", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\fitness\workout\content.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\layout\Alert.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\layout\Footer.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\layout\Spinner.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 0, 5, 108
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\layout\footer\Footer.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 7, 66
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\navbar\Nav.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 168, 29, 352
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\news\Headlines.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 2, 8, 106
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\news\News.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 2, 7, 44
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\pagination\TodoPagination.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\routing\PrivateRoute.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 1, 2, 22
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\todo\EditTodo.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 2, 9, 66
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\todo\Header.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 1, 4, 26
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\todo\Todo.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 3, 11, 105
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\todo\TodoContainer.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 8, 22, 162
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\todo\TodoList.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 6, 15, 111
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\weather\Greeting.js", "JavaScript", 146, 0, 0, 0, 0, 0, 0, 2, 18, 166
"c:\Users\Werewolf\OneDrive\Documents\cubicle-main\client\src\components\weather\Weather.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 2, 6, 32
